comprar;-to buy
la cuenta;account
el saldo;balance
el banco;bank
la cuenta de banco;bank account
la cuenta;bill
el viaje de negocios;business trip
el calendario;calendar
el efectivo;cash
cambiar;-to change
pagar;-to clear up
la queja;complaint
la tarjeta de crédito;credit card
el cliente;customer
la aduana;customs
la entrega;delivery
el almacén;department store
el dólar;dollar
endosar;-to endorse
la oficina de cambio;exchange bureau
los gastos;expenses
el interés;interest
el buzón;mailbox
el gerente;manager
la fecha de vencimiento;maturity date
el dinero;money
el giro postal;money order
el pedido;order
el portador;payee
el pago;payment
el porcentaje;percentage
el cheque personal;personal check
la guía de telefónica;phone book
el apartado de correos;P.O. Box
el franqueo;postage
el sello;postage stamp
el correo;post office
el precio;price
el precio neto;the net price
la publicidad;publicity
la tasa;rate
el recibo;receipt
reembolso;refund
reembolsar;-to refund
la carta certificada;registered mail
el sueldo;salar
la venta;sale
el departamento de ventas;sales department
los ahorros;savings
vender;-to sell
el envío;shipment
cambio;small change
tasar;-to tax
el telegrama;telegram
el cajero;teller
el comercio;trade
la boleta de transferencia;transfer slip
los cheques de viajero;traveler's check
válido/a;valid
el valor;value
la billetera;wallet
transferencia cablegráfica;wire
transferir dinero;-to wire (money)
el retiro;withdrawal