address book;la libreta de direcciones
airport;el aeropuerto
automobile;el auto, el automóvil
bicycle;la bicicleta
boat;el barco
bus;el autobus
camera;la cámara, la cámara fotográfica
cash;el efectivo
credit card;la tarjeta de crédito
exit;la salida
film (a roll);rollo de película
flight;el vuelo
guide;el/la guía
highway;la autopista
map;el mapa
money (change);la moneda
money (unit);el dinero
moped;la bicimoto
-to park;estacionar
parking lot;es estacionamiento
passerby;el transeúnte
passport;el pasaporte
plane;el avión
police;la policía
postcard;la tarjeta postal
public;el/la público/a
reservation;la reserva,la reservación
road;el camino
stop;el alto
stoplight;luz de freno,semáforo
subway;el metro
sunglasses;las gafas para el sol
taxi;el taxi
tourist;el/la turista
town hall;el ayuntamiento
traffic circle;la glorieta
train;el tren
transportation;el transporte
train station;la estación de tren
travel agency;la agencia de viajes
vacations;las vacaciones