que;that
de;of, from
no;no
a;to
y;and
en;in, on, at
un;a, an (for singular masculine nouns)
por;for, by, through
qué;what / how (as in “how nice!”)
una;a, an (for singular feminine nouns)
con;with
para;for, to
si;if
bien;well, good
pero;but
eso;that
sí;yes
aquí;here
del;of the, from the, in the
al;to the
como;how, as, like
más;more
esto;this (for singular masculine nouns)
ya;already
todo;everything
esta;this one (for singular feminine nouns)
muy;very
hay;there is
ahora;now
algo;something
nada;nothing
cuando;when
este;this one (for singular masculine nouns)
así;like this
cómo;how
sólo;only, just
gracias;thank you
o;or
bueno;good
ser;to be (for permanent characteristics)
hacer;to do, to make
todos;all of us, all of them
vez;time (as in “one time”)
ese;that one
sabes;you know
hola;hello
porque;because
Dios;God
quién;who
nunca;never
dónde;where
casa;house
favor;favor
esa;that one (for singular feminine nouns)
dos;two
tan;so
señor;mister
tiempo;time
verdad;truth